Activity Date,Activity Name,distance_miles,duration_min,pace_min_per_mile,avg_hr,max_hr,csv_distance_miles,csv_duration_min,csv_pace,csv_avg_hr,csv_max_hr,csv_elevation_gain,csv_calories,fit_distance_miles,fit_duration_min,fit_pace,fit_avg_hr,fit_max_hr,fit_min_hr,fit_zone1_pct,fit_zone2_pct,fit_zone3_pct,fit_zone4_pct,fit_zone5_pct,fit_elevation_gain_m,fit_elevation_loss_m,fit_avg_cadence,fit_pace_variability,is_long_run,is_tempo,is_speed_work,is_easy,is_marathon,is_bonked
"Mar 3, 2026, 5:18:24 PM",Night Run,4.38,48.6,11.1,145.0,174,4.38,42.12,9.62,144.0,174.0,87.0,487.0,4.38,48.6,11.1,145.0,174,89,2.2,23.1,37.7,35.4,1.6,126.2,122.8,162.9,,False,False,False,True,False,False
"Mar 3, 2026, 4:45:08 PM",Evening Run,0.93,10.32,11.11,116.6,127,0.93,9.6,10.32,117.0,127.0,4.0,82.0,0.93,10.32,11.11,116.6,127,67,19.1,80.9,0.0,0.0,0.0,12.0,11.2,169.4,,False,False,False,True,False,False
"Mar 2, 2026, 12:35:05 PM",Afternoon Run,6.85,65.57,9.57,136.3,146,7.52,65.57,8.72,136.0,146.0,0.0,608.0,6.85,65.57,9.57,136.3,146,71,4.9,14.6,80.5,0.0,0.0,0,0,175.4,,False,False,False,True,False,False
"Feb 28, 2026, 4:19:55 AM",Morning Run,1.37,11.12,8.12,158.9,167,1.37,11.03,8.05,159.0,167.0,0.0,130.0,1.37,11.12,8.12,158.9,167,112,1.3,1.2,13.8,83.7,0.0,13.8,6.8,178.0,,False,False,False,False,False,False
"Feb 28, 2026, 3:31:01 AM",Morning Run,5.21,45.88,8.81,164.4,181,5.21,45.67,8.77,168.0,181.0,7.0,530.0,5.21,45.88,8.81,164.4,181,111,0.3,6.7,14.5,23.4,55.2,11.2,0,182.5,,False,False,False,False,False,False
"Feb 28, 2026, 3:01:44 AM",Morning Run,1.51,21.32,14.13,150.7,172,1.51,12.08,8.0,151.0,172.0,20.0,135.0,1.51,21.32,14.13,150.7,172,66,4.8,5.1,38.6,41.9,9.6,19.8,5.4,177.8,,False,False,False,True,False,False
"Feb 24, 2026, 7:23:04 PM",Night Run,3.2,32.2,10.07,135.1,154,3.2,29.68,9.27,135.0,154.0,20.0,295.0,3.2,32.2,10.07,135.1,154,69,5.0,33.2,57.4,4.4,0.0,43.2,29.8,170.6,,False,False,False,True,False,False
"Feb 23, 2026, 6:00:04 PM",Night Run,6.33,62.78,9.92,153.8,177,6.33,61.98,9.79,154.0,177.0,79.0,660.0,6.33,62.78,9.92,153.8,177,115,0.0,0.8,44.8,44.2,10.3,136.8,140.6,167.8,,False,False,False,True,False,False
"Feb 23, 2026, 5:33:15 PM",Night Run,1.41,12.27,8.67,144.6,159,1.41,12.27,8.7,145.0,159.0,11.0,130.0,1.41,12.27,8.67,144.6,159,67,3.9,7.5,45.2,43.4,0.0,19.4,9.0,173.0,,False,False,False,False,False,False
"Feb 22, 2026, 2:05:14 PM",Testing Superblast3,7.75,72.6,9.37,157.4,168,7.75,65.27,8.42,158.0,168.0,45.0,731.0,7.75,72.6,9.37,157.4,168,73,0.8,2.4,15.6,81.2,0.0,125.6,123.6,171.8,,False,False,False,True,False,False
"Feb 19, 2026, 6:40:13 PM",Night Run,1.51,12.43,8.23,130.1,141,1.25,12.43,9.94,130.0,141.0,0.0,113.0,1.51,12.43,8.23,130.1,141,83,7.1,33.2,59.7,0.0,0.0,0,0,169.5,,False,False,False,False,False,False
"Feb 16, 2026, 2:05:55 AM",Morning Run,4.76,45.05,9.47,153.3,177,4.75,44.25,9.32,153.0,177.0,87.0,481.0,4.76,45.05,9.47,153.3,177,104,0.5,2.7,48.0,36.3,12.6,185.8,188.2,170.2,,False,False,False,True,False,False
"Feb 16, 2026, 1:44:11 AM",Morning Run,1.13,10.25,9.04,139.6,154,1.13,10.25,9.07,140.0,154.0,11.0,105.0,1.13,10.25,9.04,139.6,154,64,6.2,9.3,72.9,11.7,0.0,31.8,28.4,170.3,,False,False,False,True,False,False
